"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 05 19:31:13 BRT 2023","Wed Apr 05 19:31:15 BRT 2023","2240","","Funcionalidade Login","","","","Login inválido - sem preencher E-mail",""
"passed","Wed Apr 05 19:32:12 BRT 2023","Wed Apr 05 19:32:26 BRT 2023","14537","","Cadastrar Endereços de Faturamento e Entrega","","","","Deve cadastrar Endereço  de Entrega",""
"passed","Wed Apr 05 19:31:06 BRT 2023","Wed Apr 05 19:31:12 BRT 2023","5951","","Funcionalidade Login","","","","Login com sucesso",""
"passed","Wed Apr 05 19:31:35 BRT 2023","Wed Apr 05 19:31:46 BRT 2023","11026","","Funcionalidade Pré- Cadastro","","","","Deve completar o pré-cadastro com sucesso com comandos customizados",""
"passed","Wed Apr 05 19:31:20 BRT 2023","Wed Apr 05 19:31:22 BRT 2023","2522","","Funcionalidade Login","","","","Login inválido - sem preencher senha",""
"passed","Wed Apr 05 19:31:56 BRT 2023","Wed Apr 05 19:32:11 BRT 2023","14482","","Cadastrar Endereços de Faturamento e Entrega","","","","Deve cadastrar Endereço de Faturamento",""
"passed","Wed Apr 05 19:31:16 BRT 2023","Wed Apr 05 19:31:19 BRT 2023","2791","","Funcionalidade Login","","","","Login inválido - com email não cadastrado",""
"broken","Wed Apr 05 19:30:31 BRT 2023","Wed Apr 05 19:30:31 BRT 2023","0","","cypress/e2e/[US-0001] – Adicionar item ao carrinho.cy.js","","","","Oops...we found an error preparing this test file: cypress/e2e/[US-0001] – Adicionar item ao carrinho.cy.js",""
